cellid,k,zone,a,Aquifer
1606,1,3,1,Alluvium
1607,1,3,1,Alluvium
1608,1,3,1,Alluvium
1609,1,3,1,Alluvium
1739,1,3,1,Alluvium
1740,1,3,1,Alluvium
1741,1,3,1,Alluvium
1742,1,3,1,Alluvium
1743,1,3,1,Alluvium
1744,1,3,1,Alluvium
1745,1,3,1,Alluvium
1746,1,3,1,Alluvium
1747,1,3,1,Alluvium
1748,1,3,1,Alluvium
1749,1,3,1,Alluvium
1750,1,3,1,Alluvium
1751,1,3,1,Alluvium
1752,1,3,1,Alluvium
1753,1,3,1,Alluvium
1754,1,3,1,Alluvium
1755,1,3,1,Alluvium
1756,1,3,1,Alluvium
1757,1,3,1,Alluvium
1758,1,3,1,Alluvium
1759,1,3,1,Alluvium
1760,1,3,1,Alluvium
1761,1,3,1,Alluvium
1762,1,3,1,Alluvium
1763,1,3,1,Alluvium
1764,1,3,1,Alluvium
1765,1,3,1,Alluvium
1766,1,3,1,Alluvium
1767,1,3,1,Alluvium
1768,1,3,1,Alluvium
1769,1,3,1,Alluvium
1770,1,3,1,Alluvium
1771,1,3,1,Alluvium
1772,1,3,1,Alluvium
1773,1,3,1,Alluvium
1774,1,3,1,Alluvium
1775,1,3,1,Alluvium
1776,1,3,1,Alluvium
1777,1,3,1,Alluvium
1899,1,3,1,Alluvium
1900,1,3,1,Alluvium
1903,1,3,1,Alluvium
1904,1,3,1,Alluvium
1905,1,3,1,Alluvium
1906,1,3,1,Alluvium
1907,1,3,1,Alluvium
1908,1,3,1,Alluvium
1909,1,3,1,Alluvium
1910,1,3,1,Alluvium
1911,1,3,1,Alluvium
1912,1,3,1,Alluvium
1913,1,3,1,Alluvium
1914,1,3,1,Alluvium
1915,1,3,1,Alluvium
1916,1,3,1,Alluvium
1917,1,3,1,Alluvium
1918,1,3,1,Alluvium
1919,1,3,1,Alluvium
1920,1,3,1,Alluvium
1921,1,3,1,Alluvium
1922,1,3,1,Alluvium
1923,1,3,1,Alluvium
1924,1,3,1,Alluvium
1925,1,3,1,Alluvium
1926,1,3,1,Alluvium
1927,1,3,1,Alluvium
1928,1,3,1,Alluvium
1929,1,3,1,Alluvium
1930,1,3,1,Alluvium
1931,1,3,1,Alluvium
1932,1,3,1,Alluvium
1933,1,3,1,Alluvium
1934,1,3,1,Alluvium
1935,1,3,1,Alluvium
1936,1,3,1,Alluvium
1937,1,3,1,Alluvium
1938,1,3,1,Alluvium
1939,1,3,1,Alluvium
1940,1,3,1,Alluvium
1941,1,3,1,Alluvium
1942,1,3,1,Alluvium
1943,1,3,1,Alluvium
2063,1,3,1,Alluvium
2064,1,3,1,Alluvium
2065,1,3,1,Alluvium
2066,1,3,1,Alluvium
2069,1,3,1,Alluvium
2070,1,3,1,Alluvium
2071,1,3,1,Alluvium
2072,1,3,1,Alluvium
2073,1,3,1,Alluvium
2074,1,3,1,Alluvium
2075,1,3,1,Alluvium
2076,1,3,1,Alluvium
2077,1,3,1,Alluvium
2078,1,3,1,Alluvium
2079,1,3,1,Alluvium
2080,1,3,1,Alluvium
2081,1,3,1,Alluvium
2082,1,3,1,Alluvium
2083,1,3,1,Alluvium
2084,1,3,1,Alluvium
2085,1,3,1,Alluvium
2086,1,3,1,Alluvium
2087,1,3,1,Alluvium
